Title,Description,Date,Screening Time,Available Seats,Booked Seats,Total Seats
"Star Wars: The Last Jedi","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",12/17/2017,15:00,32,6,38
"Star Wars: The Last Jedi","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",12/18/2017,12:15,35,3,38
"Ferdinand","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.",12/20/2017,15:30,38,0,38
"Ferdinand","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.",1/3/2018,13:15,38,0,38
"Coco","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",12/28/2017,14:30,38,0,38
"Coco","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",12/26/2017,13:15,38,0,38
"Ferdinand","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.",12/14/2017,23:45,36,2,38
"Ferdinand","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.",12/14/2017,00:50,38,0,38
"Star Wars: The Last Jedi","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",12/18/2017,13:15,38,0,38
"Ferdinand","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.",12/26/2017,9:45,38,0,38
"Coco","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",12/27/2017,15:30,35,3,38
"Troy","An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",12/29/2017,14:30,38,0,38
"Troy","An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",01/06/2018,17:30,38,0,38
"Troy","An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",12/14/2017,19:00,38,0,38
"It","A group of bullied kids band together when a shapeshifting monster, taking the appearance of a clown, begins hunting children.",02/28/2018,23:45,38,0,38
"It","A group of bullied kids band together when a shapeshifting monster, taking the appearance of a clown, begins hunting children.",02/27/2018,23:45,38,0,38
"The Two of Us","Claude is a Jew. Because of the risks of an arrest (France is occupied by the Nazis), his parents send him away to an elderly couple in the country. Pepe, the husband, is a Petain supporter and a anti-Semite, but he does not know about Claude's religion. The film is the story of their growing mutual affection.",02/01/2018,17:30,33,5,38
"The Two of Us","Claude is a Jew. Because of the risks of an arrest (France is occupied by the Nazis), his parents send him away to an elderly couple in the country. Pepe, the husband, is a Petain supporter and a anti-Semite, but he does not know about Claude's religion. The film is the story of their growing mutual affection.",02/09/2018,17:30,36,2,38
"The Two of Us","Claude is a Jew. Because of the risks of an arrest (France is occupied by the Nazis), his parents send him away to an elderly couple in the country. Pepe, the husband, is a Petain supporter and a anti-Semite, but he does not know about Claude's religion. The film is the story of their growing mutual affection.",01/06/2018,14:30,38,0,38
"Ferdinand","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.",02/14/2018,13:15,38,0,38
